,poseidon adventure,Just keep on crawling across the basin,Start,,,,
,temmujin,How long have you been on?,,,,,
,poseidon adventure,"Since this morning, on and off. I try to keep an eye on things. Can’t really sleep more than 3 hours anyway.",,,,,
,temmujin,You stay up all night for this? Nothing ever happens…,,,,,
,poseidon adventure,No?,,,,,
,temmujin,Feels I’ve been here watching this thing crawl for long enough ,,,,,
,poseidon adventure,When it turns it’ll turn from subtrop to megacat levels in a few hours,,,,,
,temmujin,You ever seen one of those?,,,,,
,poseidon adventure,"Yeah, the last time Miami went down. lost most of my portfolio that day. Felt pretty rough. Amazing though.",,,,,
,temmujin,"Damn, sorry to hear it.",,,,,
,poseidon adventure,"It’s fine, I learned a lot and made it back. The energy in the room back then was intense, though, I miss it. Some of the older folks here straight up retired that day, I haven’t seen them since.",,,,,
,temmujin,It’ll be years before another hit on Miami now,,,,,
,poseidon adventure,"Probably, you never know, the market gets antsy whenever we bring the eye within 200 miles of south beach",,,,,
,temmujin,"Yeah, but it’s been so calm lately",,,,,
,poseidon adventure,"Touch wood! :) I know what you mean, it’s been hard to make much progress on these last few cycles. A lot of folks have gone back to regular stocks.",,,,,
,temmujin,"You’re still here though, you never get the feeling you’re just waiting for nothing to happen?",,,,,
,poseidon adventure,Not when there’s money to lose!,,,,,
,temmujin,sure,End,,,,
,Boxerdogz,"hurr durr ""muh global warming crisis""",Start,,,,
,Boxerdogz,muh global cataclysm,,,,,
,Boxerdogz,hurr muh Big Bang/earth has been here 4.5billion years,,,,,
,Boxerdogz,hurrrrrr muh evolution God isn't real but the Universe is infinitely large and even though I haven't been to every point in space and time to look for God I can tell you right now that there is no God,,,,,
,Boxerdogz,HUURRRR CLIMATE CHANGE NIGHTMARE,,,,,
,Boxerdogz,IF WE JUST VOTE BLUE THE NIGHTMARE WILL END,End,,,,
,JasperTheMonkeyGod,How’s everyone feeling today?!,Start,,,,
,Henchard,Chem trails are real and are effecting the climate. Jet contrails dropped globally which saw a spike in UV rays. The fuel contains higher levels of Sulphur compared to commercial fuel which is refined with Cobalt to remove the impurities.,,,,,
,Cyan,OK! ,,,,,
,aceta,Why should I care about sea raising and global warming if I'll be dead in around 55 years??,,,,,
,Cyan,👍👍👍👍👍👍,,,,,
,Henchard,We've hurt the atmosphere to a where now we have to inject Sulphur into the air to cool the climate.,,,,,
,rvm,"I believe we should pollute less. But I always get accused of being a dumb climate change believer when I say this, so...",,,,,
,JasperTheMonkeyGod,Bring it on I say,,,,,
,Cyan,…,,,,,
,temmujin,Have you noticed the trees started growing at different rates later into the year and it's October but they're still green?,,,,,
